veh_id,time,travel_time
1,4627,269.3210156
2,6571,182.1625488
1035,5675,191.112682
1020,4646,299.4158647
1036,6927,178.6142923
528,1910,149.934378
529,2959,510.8645588
530,4419,241.5615577
1021,6028,216.2401732
1056,5737,207.3064856
546,1893,151.5835512
548,4573,269.8555057
549,6596,178.2050605
38,1042,173.5015409
39,2466,471.5401096
40,4517,302.456366
41,6694,179.5423865
1074,836,197.8658417
1075,2068,323.2909662
565,2122,255.3580178
566,3476,518.7099819
567,5011,220.0255479
58,1085,170.2415491
61,6414,152.8306984
1077,6121,165.7768128
1093,706,158.3234963
1094,1827,179.5484448
1095,4162,340.7178966
584,5689,203.0894001
1096,6234,179.2339567
76,5040,241.0336849
77,6450,183.2411385
600,2118,242.9468024
603,6702,174.2810494
92,1771,173.0343035
93,3592,502.1658527
94,5166,193.023166
1113,4720,346.8880713
1114,6198,202.8467031
1131,967,176.4367634
1132,2168,342.4309354
109,1828,182.7481348
110,4338,392.9277818
111,6011,207.5693665
622,2307,440.3566102
623,3852,479.4586614
624,5359,222.2949587
1133,4423,276.9878821
1134,6679,177.5052177
1147,736,163.6062597
1148,1786,160.5372195
1150,6443,186.3400903
128,4329,321.0814559
129,5854,184.1672872
642,834,171.7831351
643,2039,229.0073269
644,4395,275.517252
645,6626,194.9125812
1162,754,163.7564516
146,1760,171.1545969
147,3524,452.2964105
148,4955,205.2535928
149,6163,154.2005782
662,1116,179.9420361
663,2323,410.8359763
664,3849,477.1228621
1172,2321,399.6006693
1173,3915,349.2898635
1174,5288,204.2269858
164,2242,367.3481288
682,1173,177.2932695
171,1870,188.7851109
172,4211,362.8852077
683,2319,410.234545
684,3771,516.0356704
1212,749,164.249101
1213,1781,186.9101335
702,1178,192.8492292
191,2211,293.3336725
192,4068,377.5805479
193,5468,204.8621327
194,6733,181.8834172
703,2376,378.4769368
704,3851,471.4140002
706,6849,153.1397311
1214,3283,507.7010132
1233,786,159.8187151
1234,6083,209.9307272
211,1928,229.3852081
213,5781,180.4212313
723,1219,180.7497439
724,2399,406.9447583
1250,868,182.9280777
1251,2093,311.872503
230,1861,169.0262148
231,3679,469.9599335
232,5201,192.7262427
233,6501,164.3390959
743,1872,178.8561491
745,4737,289.5416164
746,6053,187.0365855
1254,6931,192.3941093
1272,944,190.4892068
1273,2339,345.3308504
250,2122,235.7758178
251,3599,401.134107
252,4968,201.653787
764,974,183.0372281
767,6741,176.3017658
1281,855,160.5573869
1282,1865,161.0822946
1284,4920,193.4241246
778,1953,194.864449
269,6618,175.3626103
780,4994,229.3335631
781,6265,195.2266713
1298,961,177.3333853
1299,2316,414.8923612
1300,4337,307.8254963
1301,6439,194.8857566
280,1917,196.1384692
1305,1533,170.3719264
1306,2972,483.4568108
1307,4922,207.8832755
1308,6112,171.7681609
799,2444,497.9687607
800,5545,213.5353666
801,6950,176.691527
295,2176,383.1848394
296,4640,269.843509
297,5995,171.2560646
1328,980,169.182954
1329,2765,445.2330521
820,5006,231.7394035
821,6257,166.9551725
1331,6295,165.7526555
316,4734,271.1448214
317,6231,185.0541906
1349,2879,491.0896573
1350,4438,265.2654582
1351,5689,187.3532609
840,2299,385.7396258
841,3852,494.1450411
842,5432,210.9508397
843,6675,185.9234215
1352,6875,172.9197756
334,5562,201.6993188
335,6922,180.7793426
1371,1675,168.7211553
1372,3982,384.0039212
1373,5475,213.0770164
862,2442,442.7513218
351,2460,475.2999368
352,4483,269.3218145
353,5919,172.5502012
864,5610,209.1582066
865,6945,197.3334396
1374,6748,183.5392775
369,2473,377.7446909
370,4444,297.3282578
371,5885,161.2854367
372,6953,176.8846493
881,3744,476.6270376
882,5244,203.6901578
391,2518,460.9947665
392,4627,290.3730477
915,2227,361.2859744
916,3711,478.2349871
918,6850,191.3177549
413,4545,291.227436
414,5982,160.4265743
935,2606,473.7737061
938,5607,181.0155911
433,2086,313.2462245
435,6389,169.0700312
957,2232,379.6947191
454,4699,257.6359764
974,4309,326.9822563
975,5629,189.057776
976,6858,190.7593786
472,2617,396.1741249
473,4195,361.102674
474,5767,186.3497245
994,4400,357.1702258
995,5750,200.8443748
996,6965,185.2487861
488,1721,185.3263124
489,4263,414.7677641
490,5849,197.6986498
506,1068,186.3982139
507,2316,414.44101
508,4438,260.2989696
